date(UTC)	symbol	l/s	market	type	price	amount	total
2024-04-13 21:08:27	ARB	-1	ARBUSDT	SELL	0.94	94.1	88.454
2024-04-13 21:08:27	ARB	-1	ARBUSDT	SELL	0.94	11.1	10.434
2024-04-13 19:56:21	ETH	1	ETHUSDT	BUY	3050	0.0163	49.715
2024-04-13 19:53:55	ETH	1	ETHUSDT	BUY	3100	0.0161	49.91
2024-04-13 17:29:44	ARB	-1	ARBUSDT	SELL	1.0709	46.7	50.01103
2024-04-12 18:21:08	ETH	1	ETHUSDT	BUY	3310	0.0302	99.962
2024-04-12 16:18:44	LINK	1	LINKUSDT	BUY	17.01	6	102.06
2024-04-10 21:06:55	ARB	-1	ARBUSDT	SELL	1.46	100	146
2024-04-09 14:40:36	decomposed	-1	SOLETH	SELL	0.0484	2	0.0968
2024-04-02 18:39:12	ETH	1	ETHUSDT	BUY	3264.52	0.1196	390.436592
2024-04-02 17:36:38	BTC	-1	BTCUSDT	SELL	65391.46	0.00598	391.0409308
2024-04-02 16:20:24	ETH	1	ETHUSDT	BUY	3223.39	0.031	99.92509
2024-04-02 14:04:11	ETH	1	ETHUSDT	BUY	3280.33	0.0158	51.829214
2024-04-09 14:40:36	SOL	-1	SOLUSDT	SELL	171.08	2	342.16
2024-04-09 14:40:36	ETH	1	ETHUSDT	BUY	3534.710744	0.0968	342.16
2024-04-28 16:19:07	OP	-1	OPUSDT	SELL	2.73	36.63	99.9999
2024-04-30 11:45:54	OP	-1	OPUSDT	SELL	2.35	42.55	99.9925
2024-04-30 13:26:57	ETH	1	ETHUSDT	BUY	2992	0.0334	99.9328
